,n,mean,M2
best/best_-533,21.0,1.3310908949820723,0.09620493352610576
best/best_-565,15.0,1.3310590899048982,0.08299097088217518
best/best_-567,27.0,1.3218815754140327,0.08740179926955009
best/best_-566,21.0,1.326455372957414,0.03540730721998345
best/best_-646,3.0,1.3414679087707342,0.0011322076274105876
best/best_-604,6.0,1.3129995778090806,0.008843101857693792
best/best_-623,3.0,1.3118632006338793,0.0014551478927383788
best/best_-631,3.0,1.3189789773254383,0.0018775067130787767
best/best_-633,3.0,1.3321095940514347,0.005851740216208633
best/best_-635,3.0,1.2945466627648199,0.0018405713123595166
