pc12,pc21,relaxation,Fnoise,scale,offset,relaxT,pco1,poc2,po12,po21
pc12,0.23
pc21,0.09
relaxation,0.32
Fnoise,0.3
scale,0.5
offset,0.05
relaxT,1.91
pco1,0.08
poc2,0.09
po12,0.12
po21,0.32
pc12,0.3
pc21,0.2
relaxation,0.25
Fnoise,0.07
scale,0.1
offset,0.03
relaxT,14.27
pco1,0.13
poc2,0.01
po12,0.22
po21,0.18
pc12,0.42
pc21,0.22
relaxation,0.33
Fnoise,0.11
scale,0.41
offset,-0.04
relaxT,1.49
pco1,0.09
poc2,0.0
po12,0.2
po21,0.25
pc12,0.12
pc21,0.27
relaxation,0.51
Fnoise,0.03
scale,0.43
offset,0.34
relaxT,4.01
pco1,0.1
poc2,0.22
po12,0.03
po21,0.11
pc12,0.17
pc21,0.07
relaxation,0.6
Fnoise,0.05
scale,0.32
offset,0.26
relaxT,10.6
pco1,0.12
poc2,0.35
po12,0.07
po21,0.13
pc12,0.37
pc21,0.01
relaxation,0.41
Fnoise,0.15
scale,0.44
offset,0.47
relaxT,3.72
pco1,0.14
poc2,0.16
po12,0.11
po21,0.12
pc12,0.42
pc21,0.23
relaxation,0.74
Fnoise,0.1
scale,0.55
offset,-0.03
relaxT,6.5
pco1,0.54
poc2,0.31
po12,0.07
po21,0.1
pc12,0.3
pc21,0.26
relaxation,0.35
Fnoise,0.1
scale,0.39
offset,0.09
relaxT,9.19
pco1,0.01
poc2,0.06
po12,0.0
po21,0.07
pc12,0.11
pc21,0.02
relaxation,0.48
Fnoise,0.33
scale,0.4
offset,0.44
relaxT,5.75
pco1,0.16
poc2,0.53
po12,0.13
po21,0.29
pc12,0.39
pc21,0.17
relaxation,0.49
Fnoise,0.24
scale,0.47
offset,0.44
relaxT,9.19
pco1,0.24
poc2,0.26
po12,0.09
po21,0.01
pc12,0.36
pc21,0.18
relaxation,0.31
Fnoise,0.13
scale,0.29
offset,0.35
relaxT,7.32
pco1,0.14
poc2,0.13
po12,0.06
po21,0.25
pc12,0.48
pc21,0.2
relaxation,0.29
Fnoise,0.13
scale,0.55
offset,0.35
relaxT,11.89
pco1,0.13
poc2,0.36
po12,0.02
po21,0.0
pc12,0.24
pc21,0.17
relaxation,0.57
Fnoise,0.12
scale,0.68
offset,0.22
relaxT,3.04
pco1,0.3
poc2,0.35
po12,0.04
po21,0.21
pc12,0.29
pc21,0.17
relaxation,0.78
Fnoise,0.16
scale,0.7
offset,0.4
relaxT,11.12
pco1,0.1
poc2,0.22
po12,0.07
po21,0.41
pc12,0.22
pc21,0.09
relaxation,0.8
Fnoise,0.12
scale,0.62
offset,0.25
relaxT,16.69
pco1,0.01
poc2,0.34
po12,0.11
po21,0.27
pc12,0.19
pc21,0.11
relaxation,0.67
Fnoise,0.27
scale,0.16
offset,0.33
relaxT,9.64
pco1,0.24
poc2,0.45
po12,0.17
po21,0.21
pc12,0.41
pc21,0.2
relaxation,0.43
Fnoise,0.04
scale,0.48
offset,0.26
relaxT,6.63
pco1,0.07
poc2,0.07
po12,0.02
po21,0.05
pc12,0.26
pc21,0.12
relaxation,0.6
Fnoise,0.18
scale,0.39
offset,0.46
relaxT,1.0
pco1,0.07
poc2,0.33
po12,0.08
po21,0.25
pc12,0.18
pc21,0.05
relaxation,0.49
Fnoise,0.07
scale,0.44
offset,0.36
relaxT,4.49
pco1,0.11
poc2,0.51
po12,0.02
po21,0.12
pc12,0.08
pc21,0.03
relaxation,0.38
Fnoise,0.19
scale,0.33
offset,0.07
relaxT,7.87
pco1,0.03
poc2,0.14
po12,0.04
po21,0.05
pc12,0.25
pc21,0.1
relaxation,0.38
Fnoise,0.23
scale,0.31
offset,0.1
relaxT,4.35
pco1,0.09
poc2,0.14
po12,0.15
po21,0.07
pc12,0.21
pc21,0.15
relaxation,0.66
Fnoise,0.15
scale,0.68
offset,0.24
relaxT,8.85
pco1,0.12
poc2,0.48
po12,0.11
po21,0.4
pc12,0.23
pc21,0.13
relaxation,0.21
Fnoise,0.03
scale,0.25
offset,0.03
relaxT,10.48
pco1,0.08
poc2,0.2
po12,0.05
po21,0.06
pc12,0.31
pc21,0.15
relaxation,0.88
Fnoise,0.16
scale,0.27
offset,0.18
relaxT,5.49
pco1,0.36
poc2,0.54
po12,0.02
po21,0.15
pc12,0.24
pc21,0.05
relaxation,0.4
Fnoise,0.11
scale,0.31
offset,0.21
relaxT,5.97
pco1,0.12
poc2,0.28
po12,0.06
po21,0.1
pc12,0.33
pc21,0.08
relaxation,0.71
Fnoise,0.13
scale,0.15
offset,-0.17
relaxT,2.01
pco1,0.16
poc2,0.39
po12,0.01
po21,0.15
pc12,0.24
pc21,0.03
relaxation,0.32
Fnoise,0.01
scale,0.25
offset,-0.03
relaxT,11.1
pco1,0.11
poc2,0.14
po12,0.12
po21,0.17
pc12,0.31
pc21,0.05
relaxation,0.36
Fnoise,0.26
scale,0.35
offset,-0.06
relaxT,5.68
pco1,0.07
poc2,0.63
po12,0.09
po21,0.08
pc12,0.35
pc21,0.05
relaxation,0.75
Fnoise,0.01
scale,0.54
offset,-0.01
relaxT,5.28
pco1,0.08
poc2,0.27
po12,0.06
po21,0.25
pc12,0.34
pc21,0.11
relaxation,0.65
Fnoise,0.09
scale,0.16
offset,-0.06
relaxT,10.32
pco1,0.17
poc2,0.52
po12,0.17
po21,0.25
pc12,0.24
pc21,0.09
relaxation,0.32
Fnoise,0.04
scale,0.3
offset,-0.14
relaxT,1.0
pco1,0.04
poc2,0.08
po12,0.01
po21,0.25
pc12,0.35
pc21,0.18
relaxation,0.54
Fnoise,0.13
scale,0.19
offset,0.06
relaxT,4.84
pco1,0.13
poc2,0.41
po12,0.04
po21,0.07
pc12,0.31
pc21,0.06
relaxation,0.81
Fnoise,0.32
scale,0.44
offset,-0.32
relaxT,2.15
pco1,0.07
poc2,0.61
po12,0.05
po21,0.01
pc12,0.34
pc21,0.03
relaxation,0.24
Fnoise,0.13
scale,0.17
offset,-0.23
relaxT,8.17
pco1,0.04
poc2,0.53
po12,0.16
po21,0.1
pc12,0.39
pc21,0.05
relaxation,0.49
Fnoise,0.09
scale,0.11
offset,-0.08
relaxT,2.97
pco1,0.03
poc2,0.22
po12,0.02
po21,0.26
pc12,0.45
pc21,0.07
relaxation,0.77
Fnoise,0.15
scale,0.28
offset,-0.23
relaxT,13.19
pco1,0.08
poc2,0.57
po12,0.3
po21,0.02
pc12,0.48
pc21,0.04
relaxation,0.35
Fnoise,0.25
scale,0.2
offset,-0.32
relaxT,1.3
pco1,0.01
poc2,0.21
po12,0.04
po21,0.02
pc12,0.23
pc21,0.16
relaxation,0.26
Fnoise,0.04
scale,0.1
offset,-0.01
relaxT,8.14
pco1,0.01
poc2,0.31
po12,0.08
po21,0.02
pc12,0.13
pc21,0.04
relaxation,0.18
Fnoise,0.08
scale,0.11
offset,0.0
relaxT,1.0
pco1,0.06
poc2,0.11
po12,0.06
po21,0.04
pc12,0.28
pc21,0.02
relaxation,0.39
Fnoise,0.16
scale,0.16
offset,-0.1
relaxT,6.47
pco1,0.12
poc2,0.36
po12,0.0
po21,0.24
pc12,0.43
pc21,0.09
relaxation,0.45
Fnoise,0.24
scale,0.19
offset,-0.06
relaxT,7.58
pco1,0.07
poc2,0.29
po12,0.11
po21,0.17
pc12,0.22
pc21,0.1
relaxation,0.12
Fnoise,0.08
scale,0.12
offset,-0.14
relaxT,1.0
pco1,0.03
poc2,0.27
po12,0.12
po21,0.28
pc12,0.2
pc21,0.14
relaxation,0.51
Fnoise,0.21
scale,0.24
offset,-0.43
relaxT,1.0
pco1,0.06
poc2,0.32
po12,0.12
po21,0.04
pc12,0.34
pc21,0.01
relaxation,0.45
Fnoise,0.09
scale,0.13
offset,-0.24
relaxT,6.76
pco1,0.24
poc2,0.25
po12,0.08
po21,0.07
pc12,0.3
pc21,0.11
relaxation,0.52
Fnoise,0.04
scale,0.15
offset,-0.44
relaxT,5.51
pco1,0.11
poc2,0.27
po12,0.09
po21,0.02
pc12,0.22
pc21,0.19
relaxation,0.25
Fnoise,0.14
scale,0.23
offset,-0.6
relaxT,5.11
pco1,0.13
poc2,0.26
po12,0.04
po21,0.15
pc12,0.17
pc21,0.07
relaxation,0.37
Fnoise,0.05
scale,0.14
offset,-0.43
relaxT,7.99
pco1,0.06
poc2,0.29
po12,0.01
po21,0.11
pc12,0.18
pc21,0.02
relaxation,0.36
Fnoise,0.04
scale,0.2
offset,-0.1
relaxT,1.0
pco1,0.06
poc2,0.27
po12,0.02
po21,0.07
pc12,0.29
pc21,0.01
relaxation,0.29
Fnoise,0.01
scale,0.21
offset,-0.43
relaxT,1.31
pco1,0.02
poc2,0.37
po12,0.01
po21,0.14
pc12,0.53
pc21,0.1
relaxation,0.86
Fnoise,0.12
scale,0.13
offset,-1.0
relaxT,10.44
pco1,0.53
poc2,0.57
po12,0.12
po21,0.11
pc12,0.2
pc21,0.28
relaxation,0.53
Fnoise,0.14
scale,0.14
offset,-0.35
relaxT,1.0
pco1,0.04
poc2,0.43
po12,0.07
po21,0.09
pc12,0.29
pc21,0.14
relaxation,0.42
Fnoise,0.05
scale,0.27
offset,-0.76
relaxT,5.47
pco1,0.04
poc2,0.31
po12,0.17
po21,0.47
pc12,0.37
pc21,0.21
relaxation,0.87
Fnoise,0.39
scale,0.28
offset,-0.8
relaxT,1.0
pco1,0.44
poc2,0.47
po12,0.11
po21,0.41
pc12,0.18
pc21,0.02
relaxation,0.54
Fnoise,0.01
scale,0.13
offset,-0.67
relaxT,1.0
pco1,0.07
poc2,0.32
po12,0.03
po21,0.04
pc12,0.31
pc21,0.19
relaxation,0.51
Fnoise,0.04
scale,0.13
offset,-0.63
relaxT,6.05
pco1,0.15
poc2,0.44
po12,0.23
po21,0.02
pc12,0.19
pc21,0.22
relaxation,0.5
Fnoise,0.11
scale,0.2
offset,-0.63
relaxT,10.87
pco1,0.27
poc2,0.46
po12,0.22
po21,0.23
pc12,0.52
pc21,0.14
relaxation,0.61
Fnoise,0.1
scale,0.25
offset,-0.5
relaxT,7.94
pco1,0.21
poc2,0.5
po12,0.05
po21,0.01
pc12,0.19
pc21,0.07
relaxation,0.23
Fnoise,0.12
scale,0.13
offset,-0.35
relaxT,1.13
pco1,0.09
poc2,0.12
po12,0.08
po21,0.05
pc12,0.26
pc21,0.08
relaxation,0.31
Fnoise,0.03
scale,0.16
offset,-0.51
relaxT,4.39
pco1,0.04
poc2,0.26
po12,0.02
po21,0.13
pc12,0.33
pc21,0.02
relaxation,0.73
Fnoise,0.06
scale,0.11
offset,-0.6
relaxT,20.61
pco1,0.2
poc2,0.35
po12,0.09
po21,0.39
pc12,0.29
pc21,0.11
relaxation,0.34
Fnoise,0.19
scale,0.15
offset,-0.67
relaxT,8.04
pco1,0.15
poc2,0.45
po12,0.02
po21,0.04
pc12,0.15
pc21,0.03
relaxation,0.24
Fnoise,0.07
scale,0.14
offset,-0.35
relaxT,4.16
pco1,0.04
poc2,0.21
po12,0.02
po21,0.14
pc12,0.31
pc21,0.18
relaxation,0.28
Fnoise,0.06
scale,0.21
offset,-0.55
relaxT,3.32
pco1,0.08
poc2,0.24
po12,0.03
po21,0.1
pc12,0.26
pc21,0.02
relaxation,0.38
Fnoise,0.02
scale,0.15
offset,-0.2
relaxT,5.55
pco1,0.04
poc2,0.24
po12,0.07
po21,0.14
pc12,0.28
pc21,0.17
relaxation,0.35
Fnoise,0.06
scale,0.2
offset,-0.61
relaxT,2.79
pco1,0.28
poc2,0.41
po12,0.02
po21,0.06
pc12,0.25
pc21,0.05
relaxation,0.31
Fnoise,0.04
scale,0.22
offset,-0.46
relaxT,2.06
pco1,0.02
poc2,0.27
po12,0.01
po21,0.01
pc12,0.26
pc21,0.01
relaxation,0.56
Fnoise,0.2
scale,0.27
offset,-0.52
relaxT,2.16
pco1,0.26
poc2,0.51
po12,0.15
po21,0.23
pc12,0.2
pc21,0.09
relaxation,0.5
Fnoise,0.04
scale,0.21
offset,-0.57
relaxT,4.19
pco1,0.22
poc2,0.35
po12,0.01
po21,0.2
pc12,0.29
pc21,0.03
relaxation,0.47
Fnoise,0.03
scale,0.25
offset,-0.42
relaxT,1.22
pco1,0.18
poc2,0.25
po12,0.01
po21,0.18
pc12,0.29
pc21,0.1
relaxation,0.43
Fnoise,0.16
scale,0.36
offset,-0.78
relaxT,3.02
pco1,0.04
poc2,0.3
po12,0.08
po21,0.37
pc12,0.12
pc21,0.03
relaxation,0.16
Fnoise,0.01
scale,0.14
