pc12,pc21,relaxation,Fnoise,scale,offset,relaxT,pco1,poc2,po12,po21
pc12,0.16
pc21,0.01
relaxation,0.08
Fnoise,0.16
scale,0.37
offset,-0.05
relaxT,31.74
pco1,0.0
poc2,0.11
po12,0.26
po21,0.25
pc12,0.27
pc21,0.16
relaxation,0.17
Fnoise,0.3
scale,0.35
offset,0.25
relaxT,34.75
pco1,0.08
poc2,0.23
po12,0.0
po21,0.07
pc12,0.27
pc21,0.13
relaxation,0.18
Fnoise,0.11
scale,0.53
offset,-0.23
relaxT,17.09
pco1,0.06
poc2,0.01
po12,0.08
po21,0.15
pc12,0.18
pc21,0.1
relaxation,0.09
Fnoise,0.05
scale,0.27
offset,-0.05
relaxT,13.15
pco1,0.1
poc2,0.1
po12,0.01
po21,0.06
pc12,0.28
pc21,0.07
relaxation,0.34
Fnoise,0.12
scale,0.25
offset,0.44
relaxT,20.24
pco1,0.01
poc2,0.06
po12,0.09
po21,0.39
pc12,0.48
pc21,0.09
relaxation,0.17
Fnoise,0.08
scale,0.23
offset,0.1
relaxT,18.26
pco1,0.06
poc2,0.05
po12,0.07
po21,0.19
pc12,0.48
pc21,0.26
relaxation,0.3
Fnoise,0.3
scale,0.27
offset,0.17
relaxT,21.92
pco1,0.27
poc2,0.02
po12,0.07
po21,0.16
pc12,0.43
pc21,0.09
relaxation,0.18
Fnoise,0.0
scale,0.11
offset,0.14
relaxT,19.57
pco1,0.01
poc2,0.17
po12,0.09
po21,0.03
pc12,0.43
pc21,0.25
relaxation,0.16
Fnoise,0.15
scale,0.23
offset,0.03
relaxT,18.05
pco1,0.26
poc2,0.13
po12,0.03
po21,0.09
pc12,0.42
pc21,0.32
relaxation,0.18
Fnoise,0.09
scale,0.22
offset,-0.06
relaxT,20.2
pco1,0.05
poc2,0.04
po12,0.02
po21,0.27
pc12,0.4
pc21,0.07
relaxation,0.09
Fnoise,0.26
scale,0.24
offset,-0.14
relaxT,25.26
pco1,0.18
poc2,0.14
po12,0.15
po21,0.55
pc12,0.28
pc21,0.28
relaxation,0.18
Fnoise,0.0
scale,0.13
offset,-0.2
relaxT,22.67
pco1,0.34
poc2,0.04
po12,0.08
po21,0.2
pc12,0.41
pc21,0.32
relaxation,0.18
Fnoise,0.01
scale,0.11
offset,-0.55
relaxT,21.64
pco1,0.13
poc2,0.09
po12,0.07
po21,0.38
pc12,0.39
pc21,0.22
relaxation,0.35
Fnoise,0.01
scale,0.12
offset,-0.46
relaxT,23.82
pco1,0.03
poc2,0.16
po12,0.01
po21,0.13
pc12,0.44
pc21,0.16
relaxation,0.15
Fnoise,0.11
scale,0.16
offset,-0.41
relaxT,29.46
pco1,0.05
poc2,0.03
po12,0.16
po21,0.72
pc12,0.29
pc21,0.19
relaxation,0.27
Fnoise,0.01
scale,0.17
offset,-0.28
relaxT,29.4
pco1,0.11
poc2,0.04
po12,0.13
po21,0.16
