Time,Noisy current,Channels
0,3.62146,0
9.95E-5,3.82126,0
1.99E-4,2.62244,0
2.985E-4,3.47161,0
3.98E-4,2.94712,0
4.975E-4,2.39766,0
5.97E-4,3.64643,0
6.965E-4,1.94809,0
7.96E-4,3.77131,0
8.955E-4,2.84722,0
9.95E-4,2.94712,0
0.00109,2.69736,0
0.00119,3.99609,0
0.00129,3.39668,0
0.00139,1.69834,0
0.00149,2.84722,0
0.00159,3.09697,0
0.00169,1.47356,0
0.00179,1.92312,0
0.00189,2.62244,0
0.00199,3.54653,0
0.00209,2.67239,0
0.00219,3.82126,0
0.00229,3.02205,0
0.00239,1.67336,0
0.00249,2.17288,0
0.00259,2.62244,0
0.00269,1.99805,0
0.00279,2.94712,0
0.00289,3.29678,0
0.00298,2.97209,0
0.00308,2.12293,0
0.00318,2.54751,0
0.00328,2.37268,0
0.00338,2.3477,0
0.00348,2.89717,0
0.00358,2.87219,0
0.00368,2.82224,0
0.00378,3.24683,0
0.00388,2.79726,0
0.00398,3.24683,0
0.00408,4.49561,0
0.00418,1.82322,0
0.00428,5.09502,0
0.00438,3.29678,0
0.00448,3.94614,0
0.00458,2.32273,0
0.00468,3.72136,0
0.00478,2.17288,0
0.00488,2.69736,0
0.00498,3.72136,0
0.00507,3.79629,0
0.00517,1.39863,0
0.00527,2.42263,0
0.00537,4.44565,0
0.00547,2.79726,0
0.00557,1.49854,0
0.00567,3.74634,0
0.00577,2.57248,0
0.00587,1.79824,0
0.00597,3.39668,0
0.00607,2.37268,0
0.00617,2.29775,0
0.00627,2.77229,0
0.00637,2.49756,0
0.00647,2.42263,0
0.00657,3.04702,0
0.00667,2.32273,0
0.00677,2.39766,0
0.00687,2.49756,0
0.00696,2.39766,0
0.00706,1.79824,0
0.00716,2.37268,0
0.00726,1.84819,0
0.00736,2.77229,0
0.00746,2.27278,0
0.00756,2.94712,0
0.00766,2.84722,0
0.00776,1.44858,0
0.00786,3.69639,0
0.00796,2.42263,0
0.00806,3.54653,0
0.00816,1.32371,0
0.00826,2.77229,0
0.00836,3.19687,0
0.00846,2.89717,0
0.00856,4.02107,0
0.00866,3.52156,0
0.00876,3.54653,0
0.00886,3.19687,0
0.00895,2.52253,0
0.00905,2.79726,0
0.00915,2.92214,0
0.00925,2.22283,0
0.00935,2.2478,0
0.00945,2.39766,0
0.00955,3.09697,0
0.00965,2.29775,0
0.00975,2.32273,0
0.00985,3.09697,0
0.00995,4.22087,0
0.01005,2.29775,0
0.01015,2.57248,0
0.01025,3.2718,0
0.01035,2.44761,0
0.01045,3.84624,0
0.01055,2.37268,0
0.01065,3.49658,0
0.01075,3.19687,0
0.01085,2.72234,0
0.01095,2.77229,0
0.01104,2.89717,0
0.01114,2.39766,0
0.01124,2.49756,0
0.01134,2.32273,0
0.01144,3.22185,0
0.01154,4.22087,0
0.01164,2.49756,0
0.01174,2.32273,0
0.01184,3.1719,0
0.01194,2.74731,0
0.01204,2.99707,0
0.01214,2.3477,0
0.01224,2.29775,0
0.01234,3.49658,0
0.01244,2.37268,0
0.01254,3.22185,0
0.01264,3.072,0
0.01274,1.92312,0
0.01284,3.04702,0
0.01294,4.02107,0
0.01303,2.89717,0
0.01313,3.69639,0
0.01323,1.34868,0
0.01333,2.72234,0
0.01343,2.89717,0
0.01353,3.42165,0
0.01363,2.39766,0
0.01373,2.47258,0
0.01383,2.59746,0
0.01393,3.09697,0
0.01403,1.87317,0
0.01413,2.67239,0
0.01423,3.09697,0
0.01433,1.67336,0
0.01443,2.87219,0
0.01453,1.52351,0
0.01463,3.57151,0
0.01473,1.52351,0
0.01483,1.64839,0
0.01493,3.072,0
0.01502,2.97209,0
0.01512,3.67141,0
0.01522,2.1479,0
0.01532,2.2478,0
0.01542,3.57151,0
0.01552,2.1479,0
0.01562,3.74634,0
0.01572,3.1719,0
0.01582,2.44761,0
0.01592,2.77229,0
0.01602,3.1719,0
0.01612,2.07297,0
0.01622,2.17288,0
0.01632,2.42263,0
0.01642,4.34575,0
0.01652,3.32175,0
0.01662,2.84722,0
0.01672,3.22185,0
0.01682,2.37268,0
0.01691,3.54653,0
0.01701,2.87219,0
0.01711,3.14692,0
0.01721,2.22283,0
0.01731,3.59648,0
0.01741,2.92214,0
0.01751,3.67141,0
0.01761,3.072,0
0.01771,3.02205,0
0.01781,2.44761,0
0.01791,3.79629,0
0.01801,2.37268,0
0.01811,3.24683,0
0.01821,2.37268,0
0.01831,2.82224,0
0.01841,2.72234,0
0.01851,2.37268,0
0.01861,2.74731,0
0.01871,3.32175,0
0.01881,3.09697,0
0.01891,3.87121,0
0.019,2.77229,0
0.0191,1.67336,0
0.0192,2.52253,0
0.0193,2.09795,0
0.0194,2.57248,0
0.0195,3.14692,0
0.0196,2.19785,0
0.0197,2.3477,0
0.0198,3.67141,0
0.0199,3.29678,0
0.02,2.99707,0
0.0201,1.54849,0
0.0202,1.94809,0
0.0203,2.89717,0
0.0204,3.74634,0
0.0205,1.74829,0
0.0206,2.87219,0
0.0207,1.77327,0
0.0208,3.32175,0
0.0209,3.02205,0
0.02099,2.37268,0
0.02109,2.79726,0
0.02119,1.37366,0
0.02129,2.59746,0
0.02139,3.19687,0
0.02149,2.67239,0
0.02159,2.62244,0
0.02169,2.49756,0
0.02179,1.19883,0
0.02189,2.89717,0
0.02199,2.2478,0
0.02209,2.62244,0
0.02219,3.72136,0
0.02229,2.54751,0
0.02239,2.52253,0
0.02249,3.74634,0
0.02259,3.87121,0
0.02269,1.49854,0
0.02279,2.77229,0
0.02288,3.72136,0
0.02298,2.62244,0
0.02308,3.3717,0
0.02318,2.64741,0
0.02328,1.39863,0
0.02338,1.97307,0
0.02348,2.99707,0
0.02358,3.14692,0
0.02368,3.09697,0
0.02378,1.49854,0
0.02388,2.12293,0
0.02398,2.97209,0
0.02408,2.32273,0
0.02418,3.64643,0
0.02428,1.89814,0
0.02438,2.42263,0
0.02448,1.97307,0
0.02458,2.22283,0
0.02468,3.39668,0
0.02478,2.87219,0
0.02488,2.97209,0
0.02497,2.09795,0
0.02507,2.42263,0
0.02517,1.59844,0
0.02527,1.69834,0
0.02537,2.99707,0
0.02547,2.22283,0
0.02557,2.19785,0
0.02567,2.1479,0
0.02577,1.39863,0
0.02587,2.84722,0
0.02597,2.99707,0
0.02607,2.64741,0
0.02617,3.072,0
0.02627,1.57346,0
0.02637,1.92312,0
0.02647,2.02302,0
0.02657,1.44858,0
0.02667,2.64741,0
0.02677,1.44858,0
0.02687,1.72331,0
0.02696,2.67239,0
0.02706,2.79726,0
0.02716,1.62341,0
0.02726,3.29678,0
0.02736,1.97307,0
0.02746,2.12293,0
0.02756,1.99805,0
0.02766,2.47258,0
0.02776,2.54751,0
0.02786,2.94712,0
0.02796,1.64839,0
0.02806,3.1719,0
0.02816,3.072,0
0.02826,1.94809,0
0.02836,3.12195,0
0.02846,3.47161,0
0.02856,3.59648,0
0.02866,2.99707,0
0.02876,3.77131,0
0.02885,4.64546,0
0.02895,2.52253,0
0.02905,4.84526,0
0.02915,2.84722,0
0.02925,2.39766,0
0.02935,1.69834,0
0.02945,2.64741,0
0.02955,1.24878,0
0.02965,2.048,0
0.02975,2.27278,0
0.02985,2.92214,0
0.02995,2.1479,0
0.03005,2.19785,0
0.03015,1.74829,0
0.03025,2.17288,0
0.03035,2.64741,0
0.03045,1.97307,0
0.03055,3.22185,0
0.03065,1.82322,0
0.03075,2.39766,0
0.03085,1.94809,0
0.03094,4.04604,0
0.03104,2.12293,0
0.03114,3.34673,0
0.03124,1.82322,0
0.03134,1.54849,0
0.03144,2.54751,0
0.03154,1.17385,0
0.03164,2.87219,0
0.03174,3.3717,0
0.03184,2.62244,0
0.03194,3.04702,0
0.03204,2.82224,0
0.03214,2.77229,0
0.03224,2.1479,0
0.03234,3.42165,0
0.03244,3.34673,0
0.03254,2.39766,0
0.03264,2.84722,0
0.03274,1.84819,0
0.03284,2.39766,0
0.03293,2.99707,0
0.03303,5.24487,0
0.03313,1.42361,0
0.03323,4.64546,0
0.03333,3.24683,0
0.03343,4.2958,0
0.03353,1.84819,0
0.03363,4.27083,0
0.03373,2.52253,0
0.03383,2.74731,0
0.03393,3.97112,0
0.03403,1.64839,0
0.03413,3.32175,0
0.03423,3.09697,0
0.03433,3.87121,0
0.03443,2.39766,0
0.03453,3.79629,0
0.03463,4.59551,0
0.03473,4.12097,0
0.03483,3.19687,0
0.03492,4.74536,0
0.03502,2.57248,0
0.03512,3.29678,0
0.03522,4.72039,0
0.03532,2.39766,0
0.03542,4.92019,0
0.03552,2.82224,0
0.03562,2.72234,0
0.03572,2.62244,0
0.03582,3.64643,0
0.03592,3.14692,0
0.03602,2.1479,0
0.03612,2.12293,0
0.03622,3.72136,0
0.03632,2.64741,0
0.03642,4.12097,0
0.03652,4.3957,0
0.03662,2.94712,0
0.03672,2.82224,0
0.03682,2.3477,0
0.03691,4.82029,0
0.03701,3.49658,0
0.03711,3.02205,0
0.03721,2.99707,0
0.03731,3.3717,0
0.03741,2.74731,0
0.03751,3.34673,0
0.03761,5.12,0
0.03771,2.92214,0
0.03781,3.94614,0
0.03791,2.32273,0
0.03801,2.3477,0
0.03811,3.1719,0
0.03821,5.12,0
0.03831,2.57248,0
0.03841,2.47258,0
0.03851,2.69736,0
0.03861,3.12195,0
0.03871,3.22185,0
0.0388,2.97209,0
0.0389,2.59746,0
0.039,2.2478,0
0.0391,1.97307,0
0.0392,2.87219,0
0.0393,2.07297,0
0.0394,2.89717,0
0.0395,1.97307,0
0.0396,3.44663,0
0.0397,1.87317,0
0.0398,2.62244,0
0.0399,2.94712,0
0.04,3.1719,0
0.0401,3.02205,0
0.0402,2.37268,0
0.0403,1.77327,0
0.0404,2.32273,0
0.0405,2.048,0
0.0406,3.2718,0
0.0407,4.62048,0
0.04079,2.37268,0
0.04089,3.14692,0
0.04099,2.42263,0
0.04109,3.87121,0
0.04119,3.62146,0
0.04129,4.02107,0
0.04139,2.54751,0
0.04149,3.89619,0
0.04159,3.92117,0
0.04169,3.74634,0
0.04179,3.59648,0
0.04189,3.87121,0
0.04199,2.92214,0
0.04209,1.52351,0
0.04219,3.04702,0
0.04229,3.47161,0
0.04239,2.74731,0
0.04249,4.49561,0
0.04259,2.2478,0
0.04269,2.59746,0
0.04278,2.37268,0
0.04288,2.94712,0
0.04298,2.19785,0
0.04308,2.74731,0
0.04318,2.79726,0
0.04328,2.64741,0
0.04338,2.97209,0
0.04348,2.27278,0
0.04358,3.09697,0
0.04368,4.3957,0
0.04378,2.92214,0
0.04388,3.1719,0
0.04398,2.07297,0
0.04408,1.72331,0
0.04418,2.22283,0
0.04428,3.24683,0
0.04438,2.72234,0
0.04448,2.37268,0
0.04458,2.59746,0
0.04468,2.84722,0
0.04478,2.19785,0
0.04487,2.84722,0
0.04497,1.52351,0
0.04507,2.27278,0
0.04517,2.64741,0
0.04527,2.87219,0
0.04537,2.82224,0
0.04547,3.12195,0
0.04557,0.97405,0
0.04567,2.52253,0
0.04577,2.27278,0
0.04587,2.47258,0
0.04597,3.04702,0
0.04607,2.17288,0
0.04617,3.072,0
0.04627,2.47258,0
0.04637,4.04604,0
0.04647,2.92214,0
0.04657,2.47258,0
0.04667,3.69639,0
0.04677,3.02205,0
0.04686,2.64741,0
0.04696,2.52253,0
0.04706,3.12195,0
0.04716,2.17288,0
0.04726,1.94809,0
0.04736,3.19687,0
0.04746,2.048,0
0.04756,3.04702,0
0.04766,2.84722,0
0.04776,2.19785,0
0.04786,2.52253,0
0.04796,3.19687,0
0.04806,2.27278,0
0.04816,3.84624,0
0.04826,2.47258,0
0.04836,3.69639,0
0.04846,3.94614,0
0.04856,2.42263,0
0.04866,1.29873,0
0.04876,2.47258,0
0.04885,2.92214,0
0.04895,2.89717,0
0.04905,2.92214,0
0.04915,1.32371,0
0.04925,2.99707,0
0.04935,3.94614,0
0.04945,3.42165,0
0.04955,3.09697,0
0.04965,1.54849,0
0.04975,2.74731,0
0.04985,2.3477,0
0.04995,3.44663,0
0.05005,3.02205,0
0.05015,2.42263,0
0.05025,2.67239,0
0.05035,2.94712,0
0.05045,2.47258,0
0.05055,3.12195,0
0.05065,3.072,0
0.05074,3.09697,0
0.05084,2.99707,0
0.05094,2.72234,0
0.05104,2.49756,0
0.05114,1.72331,0
0.05124,2.3477,0
0.05134,2.29775,0
0.05144,3.62146,0
0.05154,3.49658,0
0.05164,2.42263,0
0.05174,3.57151,0
0.05184,2.72234,0
0.05194,2.42263,0
0.05204,3.72136,0
0.05214,2.94712,0
0.05224,3.14692,0
