_,kc12,zero,zero,kc21,_,kco1,zero,zero,koc2,_,ko12,zero,zero,ko21,_
-4.542585,4.542585,0.000000,0.000000,1.717782,-1.813847,0.096065,0.000000,0.000000,3.070941,-3.456870,0.385929,0.000000,0.000000,2.356740,-2.356740
-3.222871,3.222871,0.000000,0.000000,0.313523,-1.591840,1.278317,0.000000,0.000000,2.000172,-2.349557,0.349385,0.000000,0.000000,1.939196,-1.939196
-3.669128,3.669128,0.000000,0.000000,0.314278,-0.911399,0.597121,0.000000,0.000000,1.570995,-1.951980,0.380985,0.000000,0.000000,2.812703,-2.812703
-6.527561,6.527561,0.000000,0.000000,0.081721,-1.226451,1.144729,0.000000,0.000000,3.785308,-4.886870,1.101562,0.000000,0.000000,3.862190,-3.862190
-3.964770,3.964770,0.000000,0.000000,0.532552,-0.996742,0.464189,0.000000,0.000000,2.333314,-2.993963,0.660649,0.000000,0.000000,2.153467,-2.153467
-4.394441,4.394440,0.000000,0.000000,0.309405,-1.576816,1.267412,0.000000,0.000000,2.323549,-3.523350,1.199801,0.000000,0.000000,0.565277,-0.565277
-2.973655,2.973656,0.000000,0.000000,0.067413,-0.598795,0.531381,0.000000,0.000000,1.838173,-2.309235,0.471062,0.000000,0.000000,1.554694,-1.554694
-3.791586,3.791586,0.000000,0.000000,0.128466,-0.502460,0.373994,0.000000,0.000000,2.820225,-3.744737,0.924512,0.000000,0.000000,2.878810,-2.878810
-5.704157,5.704157,0.000000,0.000000,1.818681,-2.113468,0.294787,0.000000,0.000000,3.974768,-4.544576,0.569809,0.000000,0.000000,2.304554,-2.304553
-4.679739,4.679739,0.000000,0.000000,0.880892,-3.259176,2.378284,0.000000,0.000000,2.548713,-2.835304,0.286590,0.000000,0.000000,2.721237,-2.721237
-3.613878,3.613879,0.000000,0.000000,0.661153,-0.836554,0.175401,0.000000,0.000000,1.933042,-2.343908,0.410866,0.000000,0.000000,1.549494,-1.549494
-3.942524,3.942524,0.000000,0.000000,0.079187,-0.196839,0.117652,0.000000,0.000000,2.544014,-3.142691,0.598676,0.000000,0.000000,0.545690,-0.545691
-4.501251,4.501251,0.000000,0.000000,1.905127,-3.153723,1.248596,0.000000,0.000000,2.190356,-2.362046,0.171690,0.000000,0.000000,2.667477,-2.667477
-6.124649,6.124649,0.000000,0.000000,0.033494,-0.684153,0.650658,0.000000,0.000000,1.421932,-1.511759,0.089828,0.000000,0.000000,2.756331,-2.756331
-3.906788,3.906788,0.000000,0.000000,0.099542,-0.110039,0.010497,0.000000,0.000000,1.821349,-1.950101,0.128752,0.000000,0.000000,1.715063,-1.715063
-4.263808,4.263808,0.000000,0.000000,0.437474,-1.820607,1.383133,0.000000,0.000000,2.481028,-2.554331,0.073303,0.000000,0.000000,3.196298,-3.196298
-3.813026,3.813026,0.000000,0.000000,0.594794,-0.855510,0.260715,0.000000,0.000000,1.082816,-1.169503,0.086686,0.000000,0.000000,1.502234,-1.502234
-2.978129,2.978130,0.000000,0.000000,0.515919,-0.889782,0.373863,0.000000,0.000000,1.807423,-1.807973,0.000549,0.000000,0.000000,1.220407,-1.220407
-4.877747,4.877747,0.000000,0.000000,0.268230,-0.304449,0.036219,0.000000,0.000000,2.090483,-2.643809,0.553326,0.000000,0.000000,1.353423,-1.353424
-3.487480,3.487479,0.000000,0.000000,0.574755,-1.527275,0.952520,0.000000,0.000000,2.071238,-2.132482,0.061244,0.000000,0.000000,2.837465,-2.837465
-4.341793,4.341793,0.000000,0.000000,0.299699,-0.763120,0.463422,0.000000,0.000000,2.246045,-2.319202,0.073157,0.000000,0.000000,2.925802,-2.925801
-5.021247,5.021247,0.000000,0.000000,0.307016,-1.552523,1.245507,0.000000,0.000000,2.429997,-2.829261,0.399264,0.000000,0.000000,2.069302,-2.069302
-4.538950,4.538950,0.000000,0.000000,0.708477,-1.242386,0.533909,0.000000,0.000000,2.667042,-3.303701,0.636660,0.000000,0.000000,2.109047,-2.109047
-3.150222,3.150222,0.000000,0.000000,0.106411,-0.394242,0.287831,0.000000,0.000000,1.823097,-2.123733,0.300636,0.000000,0.000000,1.282150,-1.282150
-3.488652,3.488652,0.000000,0.000000,0.336936,-0.935135,0.598198,0.000000,0.000000,2.398297,-2.523834,0.125536,0.000000,0.000000,2.282075,-2.282075
-3.326978,3.326978,0.000000,0.000000,0.355012,-1.053322,0.698310,0.000000,0.000000,2.604721,-3.586193,0.981471,0.000000,0.000000,2.350826,-2.350826
-4.580857,4.580857,0.000000,0.000000,1.035258,-3.618489,2.583231,0.000000,0.000000,2.108435,-2.658324,0.549889,0.000000,0.000000,1.919679,-1.919678
-4.404056,4.404056,0.000000,0.000000,0.356346,-0.802342,0.445996,0.000000,0.000000,1.487521,-1.617350,0.129829,0.000000,0.000000,2.633523,-2.633523
-4.152560,4.152560,0.000000,0.000000,0.412710,-0.980257,0.567548,0.000000,0.000000,2.113405,-2.187933,0.074527,0.000000,0.000000,2.315842,-2.315842
-3.290318,3.290318,0.000000,0.000000,0.718183,-1.401826,0.683642,0.000000,0.000000,1.873431,-2.002870,0.129439,0.000000,0.000000,2.086244,-2.086244
-3.802241,3.802241,0.000000,0.000000,0.008050,-0.292317,0.284267,0.000000,0.000000,1.199183,-1.299836,0.100653,0.000000,0.000000,1.849886,-1.849886
-3.041997,3.041997,0.000000,0.000000,0.129555,-1.074070,0.944515,0.000000,0.000000,1.531206,-1.839055,0.307849,0.000000,0.000000,1.166654,-1.166654
-3.427488,3.427488,0.000000,0.000000,0.476973,-1.437674,0.960701,0.000000,0.000000,2.148615,-2.539434,0.390819,0.000000,0.000000,1.908979,-1.908979
-5.111823,5.111823,0.000000,0.000000,0.401707,-3.738376,3.336669,0.000000,0.000000,2.822794,-4.397428,1.574633,0.000000,0.000000,3.509440,-3.509440
-4.134393,4.134393,0.000000,0.000000,0.465258,-0.742284,0.277026,0.000000,0.000000,2.040138,-3.113956,1.073818,0.000000,0.000000,1.865268,-1.865268
-4.556674,4.556674,0.000000,0.000000,0.108447,-0.611749,0.503301,0.000000,0.000000,2.598142,-2.805009,0.206867,0.000000,0.000000,2.704751,-2.704750
-4.662116,4.662116,0.000000,0.000000,0.335245,-1.944959,1.609713,0.000000,0.000000,2.451654,-2.803122,0.351468,0.000000,0.000000,2.799990,-2.799990
-3.524427,3.524427,0.000000,0.000000,0.338440,-0.829358,0.490918,0.000000,0.000000,2.374164,-2.375013,0.000848,0.000000,0.000000,1.891126,-1.891126
-4.308418,4.308418,0.000000,0.000000,0.883423,-1.821656,0.938232,0.000000,0.000000,2.467527,-3.383741,0.916214,0.000000,0.000000,2.321896,-2.321896
-3.039236,3.039236,0.000000,0.000000,0.116398,-1.285657,1.169260,0.000000,0.000000,1.505557,-2.381054,0.875497,0.000000,0.000000,1.213269,-1.213269
-4.778964,4.778964,0.000000,0.000000,1.931780,-3.573055,1.641276,0.000000,0.000000,1.887456,-2.134018,0.246563,0.000000,0.000000,3.049411,-3.049411
-4.965490,4.965490,0.000000,0.000000,0.001690,-1.185659,1.183969,0.000000,0.000000,3.178546,-3.614583,0.436038,0.000000,0.000000,2.410175,-2.410175
-3.796337,3.796337,0.000000,0.000000,0.467768,-0.905595,0.437828,0.000000,0.000000,2.490592,-2.957800,0.467208,0.000000,0.000000,2.668390,-2.668390
-3.997653,3.997653,0.000000,0.000000,0.260418,-0.696025,0.435607,0.000000,0.000000,3.120489,-3.270227,0.149738,0.000000,0.000000,3.334757,-3.334757
-5.586631,5.586631,0.000000,0.000000,1.153142,-2.043268,0.890127,0.000000,0.000000,2.974624,-3.382448,0.407824,0.000000,0.000000,3.788551,-3.788551
-4.302305,4.302305,0.000000,0.000000,0.586219,-1.555106,0.968887,0.000000,0.000000,1.937985,-2.078853,0.140868,0.000000,0.000000,2.408658,-2.408658
-4.424467,4.424467,0.000000,0.000000,0.727314,-2.778411,2.051098,0.000000,0.000000,2.669787,-3.167524,0.497736,0.000000,0.000000,3.208819,-3.208818
-3.694349,3.694349,0.000000,0.000000,0.091690,-0.189773,0.098082,0.000000,0.000000,1.869125,-2.291603,0.422478,0.000000,0.000000,1.888997,-1.888997
-4.851558,4.851558,0.000000,0.000000,0.364511,-0.603455,0.238943,0.000000,0.000000,2.102507,-2.159227,0.056720,0.000000,0.000000,2.354171,-2.354171
-3.553634,3.553633,0.000000,0.000000,0.179539,-0.951993,0.772454,0.000000,0.000000,2.001301,-2.600183,0.598883,0.000000,0.000000,2.136118,-2.136118
-3.970883,3.970883,0.000000,0.000000,0.011074,-0.590972,0.579898,0.000000,0.000000,2.207118,-2.506131,0.299013,0.000000,0.000000,3.165376,-3.165376
-6.640485,6.640485,0.000000,0.000000,2.059413,-2.824823,0.765411,0.000000,0.000000,3.434783,-3.783303,0.348520,0.000000,0.000000,3.967393,-3.967394
-4.123477,4.123477,0.000000,0.000000,0.475338,-0.670431,0.195093,0.000000,0.000000,1.809597,-2.198884,0.389287,0.000000,0.000000,2.729299,-2.729299
-4.490870,4.490870,0.000000,0.000000,0.451718,-1.452413,1.000695,0.000000,0.000000,2.847811,-3.437371,0.589560,0.000000,0.000000,2.653625,-2.653625
-4.483932,4.483932,0.000000,0.000000,1.611966,-2.127504,0.515538,0.000000,0.000000,1.929185,-1.934593,0.005408,0.000000,0.000000,1.817470,-1.817470
-4.825519,4.825519,0.000000,0.000000,0.430917,-0.695937,0.265019,0.000000,0.000000,2.805068,-3.373183,0.568116,0.000000,0.000000,2.772705,-2.772705
-3.502930,3.502930,0.000000,0.000000,0.799770,-1.069958,0.270188,0.000000,0.000000,2.615988,-3.302520,0.686532,0.000000,0.000000,3.027380,-3.027380
-4.088299,4.088299,0.000000,0.000000,0.703171,-1.610811,0.907640,0.000000,0.000000,2.024293,-2.610246,0.585953,0.000000,0.000000,2.223328,-2.223328
-4.799970,4.799970,0.000000,0.000000,2.059460,-2.737266,0.677806,0.000000,0.000000,1.990820,-2.169140,0.178320,0.000000,0.000000,2.799680,-2.799680
-5.115872,5.115872,0.000000,0.000000,0.013769,-0.576923,0.563155,0.000000,0.000000,2.672524,-3.430570,0.758046,0.000000,0.000000,1.915540,-1.915540
-4.420211,4.420211,0.000000,0.000000,0.194487,-2.767007,2.572520,0.000000,0.000000,2.204829,-2.389007,0.184178,0.000000,0.000000,3.067666,-3.067666
-5.161765,5.161765,0.000000,0.000000,0.994703,-1.923478,0.928775,0.000000,0.000000,2.607564,-2.949689,0.342125,0.000000,0.000000,2.844697,-2.844697
-4.426175,4.426175,0.000000,0.000000,1.123498,-1.527297,0.403799,0.000000,0.000000,2.585395,-2.847042,0.261647,0.000000,0.000000,2.536024,-2.536024
-4.450136,4.450136,0.000000,0.000000,0.716858,-2.093769,1.376911,0.000000,0.000000,2.121907,-2.490888,0.368981,0.000000,0.000000,2.746022,-2.746022
-5.526893,5.526893,0.000000,0.000000,0.166823,-0.819707,0.652884,0.000000,0.000000,2.326577,-2.434418,0.107841,0.000000,0.000000,1.830898,-1.830899
-4.194303,4.194303,0.000000,0.000000,0.288278,-0.755342,0.467065,0.000000,0.000000,2.101692,-2.175488,0.073796,0.000000,0.000000,2.383242,-2.383242
-3.516154,3.516154,0.000000,0.000000,0.372513,-1.691320,1.318807,0.000000,0.000000,2.005891,-2.715356,0.709465,0.000000,0.000000,2.068294,-2.068294
-2.993734,2.993734,0.000000,0.000000,0.402117,-0.720868,0.318751,0.000000,0.000000,2.272142,-2.313539,0.041397,0.000000,0.000000,1.480238,-1.480238
-4.234839,4.234839,0.000000,0.000000,0.292558,-0.578539,0.285981,0.000000,0.000000,2.174460,-2.383214,0.208754,0.000000,0.000000,2.169325,-2.169325
-3.931022,3.931021,0.000000,0.000000,0.222158,-0.279954,0.057796,0.000000,0.000000,2.279450,-2.444806,0.165356,0.000000,0.000000,2.246088,-2.246088
