_,kc12,zero,zero,kc21,_,kco1,zero,zero,koc2,_,ko12,zero,zero,ko21,_
-0.000038,0.000038,0.000000,0.000000,2.315246,-5.626710,3.311465,0.000000,0.000000,1.353573,-4.722076,3.368503,0.000000,0.000000,3.951819,-3.951819
3.326905,-3.326905,0.000000,0.000000,13.884203,-12.745500,-1.138704,0.000000,0.000000,2.830629,-0.091273,-2.739356,0.000000,0.000000,-7.685631,7.685630
-2.516048,2.516048,0.000000,0.000000,-4.272060,7.145425,-2.873366,0.000000,0.000000,-2.349658,2.709985,-0.360327,0.000000,0.000000,0.479232,-0.479232
-1.406689,1.406689,0.000000,0.000000,5.024443,-13.880870,8.856426,0.000000,0.000000,-5.077691,3.644965,1.432726,0.000000,0.000000,-0.661235,0.661235
-3.522801,3.522801,0.000000,0.000000,2.846425,-19.132195,16.285770,0.000000,0.000000,-10.694827,7.926417,2.768409,0.000000,0.000000,0.973835,-0.973835
-1.619210,1.619210,0.000000,0.000000,4.501409,-17.055147,12.553739,0.000000,0.000000,-9.506495,12.236700,-2.730205,0.000000,0.000000,4.247429,-4.247429
2.593193,-2.593194,0.000000,0.000000,2.629265,-15.364409,12.735145,0.000000,0.000000,-10.301933,5.789473,4.512460,0.000000,0.000000,0.998646,-0.998646
-4.952885,4.952885,0.000000,0.000000,-2.696065,-8.818235,11.514301,0.000000,0.000000,-2.702688,4.833277,-2.130589,0.000000,0.000000,5.318549,-5.318549
-1.707679,1.707679,0.000000,0.000000,-0.422006,-10.505721,10.927727,0.000000,0.000000,-6.455649,1.268930,5.186718,0.000000,0.000000,-0.671504,0.671504
-1.469127,1.469127,0.000000,0.000000,-2.945810,-12.511687,15.457497,0.000000,0.000000,-4.989593,6.127673,-1.138081,0.000000,0.000000,2.310493,-2.310493
0.356228,-0.356229,0.000000,0.000000,-1.922247,-4.531131,6.453379,0.000000,0.000000,-1.423247,3.351221,-1.927975,0.000000,0.000000,-1.623341,1.623341
0.908691,-0.908691,0.000000,0.000000,3.696355,-16.236719,12.540364,0.000000,0.000000,-8.218313,8.727037,-0.508725,0.000000,0.000000,-4.091051,4.091051
